url,median_ms,status,runs_seconds
http://127.0.0.1:4173/,1.11,PASS,0.012642,0.001384,0.000829,0.000820,0.001112
http://127.0.0.1:4173/flow,0.99,PASS,0.002352,0.000981,0.000711,0.001612,0.000991
http://127.0.0.1:4173/form,0.78,PASS,0.001148,0.000688,0.000805,0.000741,0.000784
http://127.0.0.1:4173/recovery,0.59,PASS,0.001201,0.000615,0.000501,0.000593,0.000530
http://127.0.0.1:4173/mitgliedschaften,0.72,PASS,0.001217,0.000720,0.000554,0.000800,0.000707
http://127.0.0.1:4173/pricing,0.65,PASS,0.001601,0.000649,0.000694,0.000567,0.000539
http://127.0.0.1:4173/ueber-uns,0.62,PASS,0.001333,0.000599,0.000650,0.000617,0.000498
http://127.0.0.1:4173/about,0.72,PASS,0.001349,0.000766,0.000708,0.000721,0.000691
http://127.0.0.1:4173/kontakt,0.70,PASS,0.001292,0.000624,0.000703,0.000687,0.000699
http://127.0.0.1:4173/contact,0.74,PASS,0.001042,0.000583,0.000651,0.000820,0.000736
http://127.0.0.1:4173/impressum,0.73,PASS,0.001074,0.000731,0.000543,0.000950,0.000599
http://127.0.0.1:4173/datenschutz,0.65,PASS,0.001391,0.000654,0.000916,0.000531,0.000619
